TAG NAME,TAG TYPE,PIXEL ID
qa - pgv - all pages - in - end 251024,qpx,Unknown
ar - all pages remarketing - vn - end 2411,sp,11368163167
fp - pgv - br - end 2412,cvt_31470972_1292,885691916473485
ac - pv - Paint My Home - in - end 25/01,awct,11451526952
ac - pv - Remarketing - Paint My Home - in - end 25/01,sp,11451526952
fp - pgv - all pages - in - no end,cvt_31470972_1292,922947736209435
ar - all pages remarketing - in - end 2502,sp,11451526952
ch - ce - gtm monitor v2 - global - no end,cvt_31470972_2992,Unknown
fc - pgv - all pages - sg - end 2503,flc,14164218
pt - pgv - pinterest all pages - uk - no end,pntr,2615523521550
ch - ce - colourplay advice seen - global - no end,html,Unknown
gtag - pgv - in - no end,googtag,AW-11451526952
gtag - ev - thank you page - no end,awct,11451526952
Google Consent Mode - Update Consent,cvt_31470972_2971,Unknown
Google Consent Mode - Default Consent,cvt_31470972_2971,Unknown
Gtag - pvg - AW-11457045439 - th - no end,googtag,11457045439
Conv. linker - pgv - th - no end,gclidw,Unknown
ac - pvg -decorating-tips-and-advice - th - no end,awct,11457045439
ac - pvg - products - th - no end,awct,11457045439
ac - pvg - dulux preview service - th - no end,awct,11457045439
ac - pvg - colour inspiration - th - no end,awct,11457045439
ac - pvg - paint calculator - th - no end,awct,11457045439
ac - pvg - ceiling - th - no end,awct,11457045439
ac - pvg - interior - th - no end,awct,11457045439
ac - pvg - exterior - th - no end,awct,11457045439
ac - pvg - steel - th - no end,awct,11457045439
ac - pvg - primer - th - no end,awct,11457045439
ac - pvg - woodstain - th - no end,awct,11457045439
Conv. linker - pgv - in - no end,gclidw,Unknown
gt - UA-69298406-2 - all properties - no end,googtag,UA-69298406-2
ga - pgv - all pages MH - gr,googtag,AW-982187195
ga - transaction MH - gr - no end,awct,982187195
Conv. linker - pgv - gr - no end,gclidw,Unknown
gtag - pgv - all pages MH - be,googtag,1015718707
ga - ev - purchase confirmation MH - ev,awct,1015718707
Conv. linker - pgv - be - no end,gclidw,Unknown
ac - pv - transaction - MH - nl - no end,awct,1043704852
Gtag - pvg - AW-1043704852- MH - nl - no end,googtag,AW-1043704852
Conv. linker - pgv - nl - no end,gclidw,Unknown
ac - ce - levis timer - be - no end,awct,1015718707
ac - ce - vivechrom timer - gr - no end,awct,982187195
ac - ce - flexa timer - nl - no end,awct,1043704852
ac - ce - dulux.pl timer - pl - no end,awct,1029207089
Gtag - pvg - AW-982187195- MH - gr- no end,googtag,AW-982187195
Gtag - pvg - AW-1029207089- MH - pl- no end,googtag,AW-1029207089
ac - pv - register newsletter - dulux.vn - end 2606,awct,11368163167
ac - ev - qualified visit - vn - no end,awct,11368163167
ac - ev - qualified visit - maxilite.dulux.vn - no end,awct,11368163167
ac - purchase - uk - no end,awct,977159460
Ga - ev - transaction - MH - ie - no end,awct,1003746872
gtag - pgv - all pages MH - 1003746872 - ie,googtag,1003746872
ac - pv - register newsletter - maxilite.dulux.vn - end 2606,awct,11368163167
ac - ce - timer - dulux ie MH - no end,awct,1003746872
ac - ce - duluxvalentine timer - MH - fr - no end,awct,991791023
fp - pgv - all pages - th - no end,cvt_31470972_1292,1049340096612776
ac - ce - dulux.hu timer - hu- no end,awct,863726752
gtag - pgv - 863726752 - MH,googtag,863726752
ac - pgv - google ads conversion tracking pageviews - dulux.co.id - end -07/25,awct,11468470387
ac - pgv - google ads conversion tracking button clicks- dulux.co.id - end 07/25,awct,11468470387
ac - ev - google ads conversion tracking ask dulux button - dulux.co.id - end 07/25,awct,11468470387
fl - pv - various pageview dulux.id - id - end 07/25,flc,2472835
fl - ce - various button clicks dulux.id - id - end 07/25,flc,2472835
tt - pv - conversion pages dulux.co.id - end 07/25,cvt_31470972_3120,CN0QCHJC77U1PJEFUJTG
fl - ev - conversion tracking ask dulux button - dulux.co.id - end 07/25,flc,2472835
tt - pv - conversion button clicks dulux.co.id - end 07/25,cvt_31470972_3120,CN0QCHJC77U1PJEFUJTG
fp - pv- conversion pages dulux.in - in - end 07/25,cvt_31470972_1292,880944440187199
tt - pv - conversion tracking ask Dulux - dulux.co.id - end 07/25,cvt_31470972_3120,CN0QCHJC77U1PJEFUJTG
fp - ce - conversion buttons dulux.in - in - end 07/25,cvt_31470972_1292,880944440187199
tt - pv - tiktok script on conversion pages dulux.co.id - end 07/25,html,Unknown
fp - pgv - lead for submission - in - no end,cvt_31470972_1292,922947736209435
ga - pgv - AW-11451526952 - in - no end,awct,11451526952
ac - ev - google ads conversion tracking button - dulux.co.uk - end 08/25,awct,1008905277
Copy of fp - pgv - all pages - th - no end,cvt_31470972_1292,1143835429974635
fp - pgv - home page - vn - no end,cvt_31470972_1292,1177736903560387
fp - pgv - maxilite.dulux.vn - vn - no end,cvt_31470972_1292,8102125969882281
ac - ev - qualified visit MCC - maxilite.dulux.vn - no end,awct,11368256024
ac - ev - qualified visit MCC - vn - no end,awct,11368256024
